mode,state,ratioD,ratioR,pollD,pollR,pollSigma,gbD,gbR
senate,AK,0.868,1.0938,48,46,,44,38.6
senate,AL,0.7062,1.2899, ,,,44,38.6
senate,AR,0.6957,1.2871, ,,,44,38.6
senate,CO,1.1376,0.8556, ,,,44,38.6
senate,DE,1.174,0.8308, ,,,44,38.6
senate,FL,0.8734,1.1317,39,47.5,,44,38.6
senate,GA,1.0101,1.0035,45,39,,44,38.6
senate,IA,0.8786,1.1203,42,45,,44,38.6
senate,ID,0.6306,1.3452,16,41,,44,38.6
senate,IL,1.1234,0.8756, ,,,44,38.6
senate,KS,0.865,1.1339, ,,,44,38.6
senate,KY,0.7031,1.2866,39,51,,44,38.6
senate,LA,0.7914,1.2008, ,,,44,38.6
senate,MA,1.2695,0.7218, ,,,44,38.6
senate,ME,1.0989,0.9122,43,41,,44,38.6
senate,MI,0.9996,0.9983,47,45,,44,38.6
senate,MN,1.0644,0.9338, ,,,44,38.6
senate,MS,0.7806,1.2203, ,,,44,38.6
senate,MT,0.7971,1.1693, ,,,44,38.6
senate,NC,0.9863,1.0159,50,42,,44,38.6
senate,NE,0.8172,1.1798,46,46,,44,38.6
senate,NH,1.0558,0.9558,45,42,,44,38.6
senate,NJ,1.0672,0.9253, ,,,44,38.6
senate,NM,1.0798,0.9235, ,,,44,38.6
senate,OH,0.9079,1.1075,47.5,47,,44,38.6
senate,OK,0.6675,1.3109, ,,,44,38.6
senate,OR,1.1575,0.8224, ,,,44,38.6
senate,RI,1.1495,0.8386, ,,,44,38.6
senate,SC,0.8343,1.1673,36,42,,44,38.6
senate,SD,0.7107,1.2705,28,44,,44,38.6
senate,TN,0.7137,1.2842, ,,,44,38.6
senate,TX,0.8789,1.1257,41,41,,44,38.6
senate,VA,1.0755,0.9213, ,,,44,38.6
senate,WV,0.5845,1.3932, ,,,44,38.6
senate,WY,0.5452,1.4375, ,,,44,38.6
governor,AK,0.868,1.0938,51,49,,44,38.6
governor,AL,0.7062,1.2899,34,53,,44,38.6
governor,AR,0.6957,1.2871, ,,,44,38.6
governor,AZ,0.9698,1.0472,50,40,,44,38.6
governor,CA,1.2014,0.7797, ,,,44,38.6
governor,CO,1.1376,0.8556, ,,,44,38.6
governor,CT,1.1694,0.8386, ,,,44,38.6
governor,FL,0.8734,1.1317,34,40,,44,38.6
governor,GA,1.0101,1.0035, ,,,44,38.6
governor,HI,1.2508,0.7825, ,,,44,38.6
governor,IA,0.8786,1.1203,45,43,,44,38.6
governor,ID,0.6306,1.3452, ,,,44,38.6
governor,IL,1.1234,0.8756,54,34,,44,38.6
governor,KS,0.865,1.1339, ,,,44,38.6
governor,MA,1.2695,0.7218,48,29,,44,38.6
governor,MD,1.2998,0.6774, ,,,44,38.6
governor,ME,1.0989,0.9122, ,,,44,38.6
governor,MI,0.9996,0.9983,34,37,,44,38.6
governor,MN,1.0644,0.9338,52,32,,44,38.6
governor,NE,0.8172,1.1798, ,,,44,38.6
governor,NH,1.0558,0.9558,41,49,,44,38.6
governor,NM,1.0798,0.9235, ,,,44,38.6
governor,NV,0.9815,1.0178,39,40.5,,44,38.6
governor,NY,1.1567,0.9026,50,25,,44,38.6
governor,OH,0.9079,1.1075,46,45,,44,38.6
governor,OK,0.6675,1.3109, ,,,44,38.6
governor,OR,1.1575,0.8224, ,,,44,38.6
governor,PA,1.0069,1.0078,55,38,,44,38.6
governor,RI,1.1495,0.8386, ,,,44,38.6
governor,SC,0.8343,1.1673, ,,,44,38.6
governor,SD,0.7107,1.2705, ,,,44,38.6
governor,TN,0.7137,1.2842,28,49,,44,38.6
governor,TX,0.8789,1.1257,42,50,,44,38.6
governor,VT,1.3406,0.65,40,55,,44,38.6
governor,WI,1.0092,0.9959,50,44,,44,38.6
governor,WY,0.5452,1.4375,,,,44,38.6
