Date,Pollster,Dem,Rep
2026-03-02,YouGov / The Economist,41.0,25.0
2026-02-22,Emerson College,57.9,37.8
2026-02-18,Bowling Green State / YouGov,52.0,37.0
2026-02-12,YouGov / Yahoo News,47.0,43.0
2026-02-10,The Argument,57.0,28.0
2026-02-09,YouGov / The Economist,43.0,27.0
2026-02-09,YouGov / The Economist,39.0,28.0
2026-02-02,YouGov / The Economist,34.0,26.0
2026-01-28,Marquette University,55.0,26.0
2026-01-27,The Argument,51.0,38.0
2026-01-26,YouGov / The Economist,41.0,23.0
2026-01-19,Emerson College,41.9,39.3
2026-01-19,YouGov / The Economist,31.0,33.0
2026-01-17,NYT / Siena College,52.0,36.0
2026-01-12,YouGov / The Economist,45.0,24.0
2026-01-12,YouGov / Yahoo News,43.0,38.0
2026-01-05,YouGov / The Economist,35.0,24.0
2025-12-29,YouGov / The Economist,43.0,23.0
2025-12-22,YouGov / The Economist,44.0,26.0
2025-12-19,AtlasIntel,51.2,43.4
2025-12-15,Emerson College,43.1,33.7
2025-12-15,YouGov / The Economist,40.0,26.0
2025-12-11,The Argument,53.0,34.0
2025-12-08,YouGov / The Economist,36.0,30.0
2025-12-01,YouGov / The Economist,40.0,29.0
2025-11-24,YouGov / The Economist,40.0,26.0
2025-11-17,The Argument,62.0,28.0
2025-11-17,YouGov / The Economist,40.0,35.0
2025-11-13,Marist / NPR / PBS,59.0,35.0
2025-11-12,Marquette University,51.0,31.0
2025-11-10,YouGov / The Economist,50.0,28.0
2025-11-04,Emerson College,43.6,38.7
2025-11-03,YouGov / The Economist,41.0,22.0
2025-10-27,YouGov / The Economist,47.0,19.0
2025-10-27,YouGov / Yahoo News,52.0,36.0
2025-10-20,YouGov / The Economist,39.0,21.0
2025-10-16,The Argument,50.0,38.0
2025-10-14,Emerson College,41.0,35.3
2025-10-13,YouGov / The Economist,45.0,25.0
2025-10-06,YouGov / The Economist,41.0,20.0
2025-09-29,YouGov / The Economist,40.0,24.0
2025-09-29,YouGov / Yahoo News,48.0,36.0
2025-09-27,NYT / Siena College,60.0,28.0
2025-09-22,YouGov / The Economist,37.0,32.0
2025-09-18,The Argument,53.0,33.0
2025-09-16,AtlasIntel,55.0,41.2
2025-09-15,YouGov / The Economist,42.0,20.0
2025-09-08,YouGov / The Economist,41.0,23.0
2025-09-02,YouGov / The Economist,45.0,25.0
2025-09-02,YouGov / Yahoo News,49.0,31.0
2025-08-26,Emerson College,46.3,35.0
2025-08-25,YouGov / The Economist,47.0,23.0
2025-08-18,YouGov / The Economist,49.0,23.0
2025-08-17,The Argument,51.0,33.0
2025-08-11,YouGov / The Economist,37.0,24.0
2025-08-04,YouGov / The Economist,43.0,38.0
2025-07-28,YouGov / The Economist,45.0,30.0
2025-07-28,YouGov / Yahoo News,47.0,28.0
2025-07-22,Emerson College,44.5,34.8
2025-07-21,YouGov / The Economist,47.0,32.0
2025-07-18,AtlasIntel,56.5,41.7
2025-07-14,YouGov / The Economist,50.0,30.0
2025-07-07,YouGov / The Economist,41.0,31.0
2025-06-30,YouGov / The Economist,43.0,37.0
2025-06-25,Emerson College,41.9,27.9
2025-06-23,YouGov / The Economist,49.0,34.0
2025-06-16,YouGov / The Economist,51.0,35.0
2025-06-09,YouGov / The Economist,45.0,38.0
2025-06-02,YouGov / The Economist,39.0,31.0
2025-05-27,AtlasIntel,49.3,34.8
2025-05-26,YouGov / The Economist,48.0,33.0
2025-05-19,YouGov / The Economist,48.0,37.0
2025-04-24,NYT / Siena College,40.0,36.0
2025-04-08,YouGov / The Economist,44.0,26.0
2025-03-03,Emerson College,52.0,36.8
2025-02-18,YouGov / The Economist,40.0,26.0
