state,cd,ratio_d,ratio_r
FL,1,0.636842,1.360132
FL,2,0.833302,1.171195
FL,3,0.833334,1.171231
FL,4,0.845495,1.161120
FL,5,0.818434,1.181166
FL,6,0.850761,1.154925
FL,7,0.817631,1.189643
FL,8,0.889200,1.112927
FL,9,1.222359,0.788881
FL,10,0.873124,1.135051
FL,11,0.852849,1.154749
FL,12,0.817834,1.182810
FL,13,0.888047,1.118077
FL,14,0.876803,1.127374
FL,15,0.889368,1.116111
FL,16,0.892590,1.116252
FL,17,0.756331,1.252705
FL,18,0.844520,1.164412
FL,19,0.731493,1.276624
FL,20,1.398982,0.626868
FL,21,0.863838,1.146475
FL,22,1.158004,0.859208
FL,23,0.918751,1.092039
FL,24,1.416641,0.609639
FL,25,0.839067,1.168142
FL,26,0.821627,1.191529
FL,27,0.862497,1.147243
FL,28,0.791058,1.221886
